filename,original score,file length,pad length,loss,predict score
DevicePairingWizard.exe,0.8616437,82944,0,,
DeviceProperties.exe,0.8639548,94720,0,,
DFDWiz.exe,0.15926574,52224,5222,0.1592659205198288,0.15926574170589447
dfrgui.exe,0.99868244,561152,0,,
dfsvc.exe,0.99831456,24160,2416,,
DiagnosticsHub.StandardCollector.Service.exe,0.6815677,90624,0,,
dialer.exe,0.32902926,32768,3276,1.0,0.9950475096702576
diskpart.exe,0.22249836,150528,0,,
diskperf.exe,0.9052535,21504,2150,,
diskraid.exe,0.019726014,286208,0,,
DiskSnapshot.exe,0.1342037,91136,0,,
Dism.exe,0.51045734,226720,0,,
DismHost.exe,0.8826269,118968,0,,
dispdiag.exe,0.036513865,123904,0,,
DisplaySwitch.exe,0.00018694025,1930224,0,,
djoin.exe,0.004742208,73216,6784,0.004742178600281477,0.004742207936942577
dllhost.exe,0.99952894,19360,1936,,
dllhst3g.exe,0.9992112,10752,1075,,
dmcertinst.exe,7.769568e-05,171520,0,,
dmcfghost.exe,0.42786047,38400,3840,0.434221088886261,0.42786046862602234
dmclient.exe,0.00042046272,102400,0,,
DmNotificationBroker.exe,0.99534094,32256,3225,,
DmOmaCpMo.exe,0.009501236,33280,3328,0.009501230902969837,0.00950123555958271
dnscacheugc.exe,0.27743518,32256,3225,0.2774358093738556,0.27743518352508545
doskey.exe,0.97236526,16896,1689,,
dpapimig.exe,0.37415695,73728,6272,0.3741580843925476,0.3741569519042969
DpiScaling.exe,0.7774355,77312,2688,,
dplaysvr.exe,0.95245725,10380,1038,,
dpnsvr.exe,0.5287674,12312,1231,1.0,0.9998998045921326
driverquery.exe,0.0105284015,67072,6707,0.010528367012739182,0.010528401471674442
drvcfg.exe,0.04042741,77312,2688,0.040427446365356445,0.04042740911245346
drvinst.exe,2.4798323e-06,166912,0,,
dsacls.exe,0.9130672,20996,2099,,
dsamain.exe,0.99997675,5048,504,,
dsdbutil.exe,0.28759852,101940,0,,
dsmgmt.exe,0.8678618,77204,2796,,
DsmUserTask.exe,0.007898842,29696,2969,0.007898819632828236,0.007898841984570026
dsregcmd.exe,0.0031084395,704512,0,,
dstokenclean.exe,0.089336224,12800,1280,0.08933650702238083,0.08933622390031815
dtdump.exe,0.99997336,74240,5760,,
DTUHandler.exe,0.16363852,116632,0,,
dusmtask.exe,0.08348964,34816,3481,0.08349016308784485,0.08348964154720306
dvdplay.exe,0.9501443,10752,1075,,
DW20.exe,0.0010060975,1903664,0,,
dwm.exe,0.43078682,62464,6246,0.43078818917274475,0.4307868182659149
DWTRIG20.EXE,0.0031132249,327728,0,,
DWWIN.EXE,0.92761344,176640,0,,
dxdiag.exe,0.030792594,314368,0,,
dxgiadaptercache.exe,0.25249803,45568,4556,0.25249791145324707,0.2524980306625366
Dxpserver.exe,3.6391015e-05,304640,0,,
Eap3Host.exe,0.0019578638,13312,1331,0.0019578684587031603,0.001957863802090287
EaseOfAccessDialog.exe,0.0026062774,287232,0,,
easinvoker.exe,0.079615414,76016,3984,0.07961585372686386,0.07961541414260864
EASPolicyManagerBrokerHost.exe,0.5505824,62976,6297,0.5505826473236084,0.5505824089050293
editrights.exe,0.013683756,17939,1793,0.013683761470019817,0.01368375588208437
EdmGen.exe,0.9740937,96864,0,,
EDPCleanup.exe,0.0098353755,159232,0,,
edpnotify.exe,0.13006344,49664,4966,0.13006365299224854,0.13006344437599182
EduPrintProv.exe,0.2870916,95232,0,,
efsui.exe,0.9997661,12800,1280,,
EhStorAuthn.exe,0.12762176,120320,0,,
esentutl.exe,0.9810309,326144,0,,
eshell.exe,0.090031035,129034,0,,
eudcedit.exe,0.9839033,304640,0,,
eventcreate.exe,0.8553261,34304,3430,,
eventvwr.exe,0.7587489,81408,0,,
evntcmd.exe,0.981951,10386,1038,,
evntwin.exe,0.41157955,39640,3964,0.41157999634742737,0.41157954931259155
expand.exe,0.770254,52736,5273,,
explorer.exe,0.98246443,3611360,0,,
ExtExport.exe,0.98996294,45056,4505,,
extrac32.exe,0.5802527,29184,2918,0.5802522897720337,0.5802527070045471
FaceFodUninstaller.exe,0.007233815,437248,0,,
false.exe,0.9070345,24605,2460,,
fc.exe,0.9602441,23040,2304,,
fhmanagew.exe,0.9914825,139264,0,,
FileExplorer.exe,4.4412864e-06,3781024,0,,
FileHistory.exe,0.85346466,246784,0,,
FilePicker.exe,4.7577558e-08,1009560,0,,
find.exe,0.96978533,14848,1484,,
findstr.exe,0.64093214,29696,2969,,
finger.exe,0.8733044,13824,1382,,
FirstLogonAnim.exe,0.39296782,21240,2124,0.3929685354232788,0.3929678201675415
fixmapi.exe,0.83003795,16896,1689,,
FlashPlayerApp.exe,0.020892037,835152,0,,
FlashUtil_ActiveX.exe,0.02297664,1449040,0,,
FlickLearningWizard.exe,0.019204637,802816,0,,
fltMC.exe,0.9994505,24576,2457,,
fodhelper.exe,0.02548407,46080,4608,0.025484174489974976,0.02548407018184662
Fondue.exe,0.8795188,106496,0,,
fontdrvhost.exe,0.99840933,663128,0,,
fontview.exe,0.96098363,114176,0,,
forfiles.exe,0.9926255,41472,4147,,
fsavailux.exe,0.00026291248,16896,1689,0.00026291172252967954,0.0002629124792292714
FsIso.exe,0.067137204,99808,0,,
fsquirt.exe,0.7537953,128512,0,,
fsutil.exe,0.722882,145408,0,,
ftp.exe,0.99019784,48640,4864,,
fvenotify.exe,0.0056363363,173568,0,,
fveprompt.exe,0.008315586,161792,0,,
FXSCOVER.exe,0.15413666,232960,0,,
FXSSVC.exe,0.0005083334,642048,0,,
FXSUNATD.exe,0.9179674,19456,1945,,
GameBar.exe,5.7882742e-05,3911680,0,,
GameBarPresenceWriter.exe,0.9105592,211968,0,,
GamePanel.exe,0.99972135,960512,0,,
GenValObj.exe,0.51141113,661152,0,,
GetHelp.exe,0.990701,14848,1484,,
getmac.exe,0.87766623,65536,6553,,
gpresult.exe,0.8923192,196096,0,,
gpscript.exe,0.94226223,37888,3788,,
gpupdate.exe,0.13552636,25088,2508,0.1355261355638504,0.1355263590812683
grpconv.exe,0.98221725,39936,3993,,
hcsdiag.exe,0.85119784,86350,0,,
hdwwiz.exe,0.9975567,65536,6553,,
help.exe,0.9982695,10240,1024,,
HelpPane.exe,0.0021863407,1054720,0,,
hh.exe,0.02101746,16384,1638,1.0,0.9999998211860657
HOSTNAME.EXE,0.9994351,11776,1177,,
hvax64.exe,0.59538215,1029432,0,,
hvc.exe,0.98717654,61884,6188,,
hvix64.exe,0.0074056494,1221128,0,,
hvsievaluator.exe,0.005737306,124824,0,,
hvsimgr.exe,0.123843655,130610,0,,
hvsirdpclient.exe,0.9551855,92944,0,,
hvsirpcd.exe,0.865793,46684,4668,,
HvsiSettingsWorker.exe,0.014556256,68000,6800,0.014556173235177994,0.014556256122887135
HxAccounts.exe,0.15723261,264880,0,,
HxCalendarAppImm.exe,0.00010736717,10733232,0,,
HxOutlook.exe,4.5404016e-05,2171568,0,,
HxTsr.exe,0.020267766,98480,0,,
icacls.exe,0.3088204,29696,2969,0.9999997615814209,1.0
IcsEntitlementHost.exe,0.93096,35328,3532,,
icsunattend.exe,0.9803477,16384,1638,,
ie4uinit.exe,0.016231354,221184,0,,
IEChooser.exe,0.0054041166,171008,0,,
iediagcmd.exe,0.20960516,513536,0,,
ieinstal.exe,0.49696597,480256,0,,
ielowutil.exe,0.9952146,221184,0,,
ieUnatt.exe,0.42960298,123904,0,,
